track_id,album_id,track_number,disc_number
1,1,,1
2,1,,1
3,1,,1
4,1,,1
5,1,,1
6,1,,1
7,1,,1
8,2,,1
9,3,,1
10,310,,1
11,4,,1
12,5,,1
14,7,,1
15,7,,1
16,7,,1
17,7,,1
18,7,,1
19,7,,1
20,7,,1
21,8,,1
22,10,,1
23,11,,1
24,5,,1
25,5,,1
26,5,,1
27,5,,1
29,13,,1
30,14,,1
31,15,,1
32,16,,1
33,17,,1
34,18,,1
35,19,,1
36,20,,1
37,16,,1
38,21,,1
39,23,,1
40,25,,1
41,26,,1
42,27,,1
43,12,,1
44,12,,1
45,28,,1
47,29,,1
48,30,,1
49,16,,1
50,2840,,1
51,31,,1
53,32,,1
54,8,,1
55,8,,1
56,8,,1
57,17,,1
58,8,,1
59,33,,1
60,23,,1
61,34,,1
62,8,,1
63,8,,1
64,8,,1
65,8,,1
66,35,,1
67,35,,1
68,35,,1
69,35,,1
70,3110,,1
71,36,,1
72,36,,1
73,36,,1
74,37,,1
75,37,,1
76,37,,1
77,131,,1
78,131,,1
79,131,,1
80,36,,1
81,36,,1
82,36,,1
83,36,,1
84,36,,1
85,39,,1
86,36,,1
87,30,,1
88,36,,1
89,36,,1
90,36,,1
91,36,,1
92,36,,1
93,36,,1
94,36,,1
95,36,,1
96,36,,1
97,1911,,1
98,1911,,1
99,1911,,1
100,1911,,1
101,1911,,1
102,40,,1
103,30,,1
104,30,,1
105,30,,1
106,30,,1
107,30,,1
108,30,,1
109,12,,1
110,35,,1
111,35,,1
112,35,,1
113,41,,1
114,41,,1
117,5,,1
118,5,,1
119,5,,1
120,5,,1
121,5,,1
122,5,,1
123,5,,1
124,43,,1
125,45,,1
126,49,,1
127,49,,1
128,50,,1
129,49,,1
130,49,,1
131,51,,1
132,136,,1
133,52,,1
134,53,,1
135,43,,1
136,54,,1
137,34,,1
138,55,,1
139,3107,,1
140,55,,1
141,56,,1
142,57,,1
143,58,,1
144,58,,1
145,16,,1
146,16,,1
147,16,,1
149,16,,1
151,59,,1
152,59,,1
153,59,,1
154,59,,1
155,59,,1
156,59,,1
157,59,,1
158,17,,1
159,17,,1
160,17,,1
161,17,,1
162,60,,1
163,61,,1
164,61,,1
165,1,,1
166,1,,1
167,1,,1
168,1,,1
169,1,,1
170,1691,,1
171,1691,,1
172,17,,1
173,17,,1
174,17,,1
175,63,,1
176,63,,1
177,64,,1
178,3180,,1
179,3180,,1
180,3180,,1
181,65,,1
182,66,,1
183,66,,1
184,193,,1
185,193,,1
28,12,,1
150,59,,1
116,42,,1
115,42,,1
52,6,,1
46,6,,1
13,6,,1
186,193,,1
187,67,,1
188,67,,1
189,67,,1
190,67,,1
191,68,,1
192,68,,1
193,68,,1
194,68,,1
195,69,,1
196,70,,1
197,71,,1
198,72,,1
199,1669,,1
200,73,,1
201,73,,1
202,73,,1
203,74,,1
204,75,,1
205,74,,1
206,74,,1
207,73,,1
208,73,,1
209,76,,1
210,77,,1
211,78,,1
212,79,,1
213,80,,1
214,81,,1
215,82,,1
216,83,,1
217,83,,1
218,83,,1
219,83,,1
220,84,,1
221,84,,1
222,84,,1
223,84,,1
224,84,,1
225,84,,1
226,85,,1
227,85,,1
228,85,,1
229,85,,1
230,86,,1
231,87,,1
232,88,,1
233,89,,1
234,90,,1
235,91,,1
236,91,,1
237,92,,1
238,93,,1
239,84,,1
240,94,,1
241,94,,1
242,95,,1
243,83,,1
244,83,,1
245,83,,1
246,83,,1
247,83,,1
248,83,,1
249,397,,1
250,397,,1
251,79,,1
252,79,,1
253,1669,,1
254,1669,,1
255,1669,,1
256,96,,1
257,96,,1
258,96,,1
259,96,,1
260,96,,1
261,96,,1
262,96,,1
263,96,,1
264,96,,1
265,96,,1
266,96,,1
267,96,,1
268,96,,1
269,97,,1
270,97,,1
271,97,,1
272,98,,1
273,98,,1
274,98,,1
275,79,,1
276,79,,1
277,79,,1
278,99,,1
279,99,,1
280,397,,1
281,416,,1
282,416,,1
283,416,,1
284,416,,1
285,101,,1
286,101,,1
287,102,,1
288,269,,1
289,269,,1
290,104,,1
291,105,,1
