album_id,artist_id
1,2
2,1226
3,4
4,1
5,2
7,2
8,7
9,8
10,8
11,8
13,10
14,11
15,12
17,11
18,10
19,12
20,13
21,7
22,14
23,3
24,7
25,7
26,14
27,13
28,13
29,15
30,16
31,14
32,7
33,16
34,18
35,7
37,6
38,20
39,22
40,22
44,26
45,27
46,28
47,2
48,6
49,2
50,29
51,18
52,29
53,31
54,32
55,29
56,29
57,29
58,14
60,34
61,244
62,35
63,36
64,36
65,36
66,36
67,37
68,38
69,38
70,39
71,38
72,38
73,40
74,41
75,41
76,5
77,42
78,43
79,3
80,44
81,44
82,2
83,45
84,46
85,47
86,48
87,37
88,49
89,50
90,51
91,51
92,5
93,52
94,53
95,45
96,54
97,55
98,124
99,30
100,56
101,57
102,58
103,59
104,61
105,61
106,62
107,63
108,64
109,31
110,65
111,66
112,25
113,68
114,710
115,710
116,43
117,17
118,3
119,69
120,70
121,71
122,72
123,73
124,74
125,75
126,76
127,76
128,25
129,77
130,13
131,21
132,78
133,79
134,80
135,81
136,30
137,82
138,83
139,84
140,333
141,85
142,25
143,53
144,53
145,86
146,13
147,73
148,13
149,88
151,75
152,623
153,92
155,8
156,4
157,93
158,94
159,95
160,96
161,97
162,98
163,99
165,100
166,101
167,29
168,9
169,102
170,60
171,61
172,103
173,106
174,107
175,108
176,193
178,52
179,78
180,110
181,111
182,112
183,106
184,107
185,113
186,114
187,114
188,25
189,46
190,116
191,94
193,36
194,13
195,104
196,117
197,25
198,88
199,4
200,4
201,76
202,118
203,119
204,76
205,36
206,120
207,115
208,122
209,66
210,123
211,115
212,125
213,114
214,127
216,128
217,129
218,129
219,130
220,131
221,132
222,94
223,87
224,133
225,134
226,104
43,25
215,7
59,16
12,7
150,90
41,16
6,6
227,25
228,135
229,136
230,137
231,138
232,113
233,113
234,113
235,3
236,139
237,140
238,87
239,124
240,119
241,141
242,142
243,89
244,143
245,89
246,89
247,89
248,119
249,144
250,145
251,147
252,148
253,124
254,119
255,149
256,71
257,73
260,150
261,117
262,151
263,152
264,153
265,155
266,60
267,44
269,60
270,55
271,157
274,94
275,160
276,161
277,44
278,165
279,166
280,167
281,151
282,98
283,171
